model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,n_cells,agreement_with_scGPT_pct
CellTypist,0.19943748401943237,0.2915837890942385,0.19117082704227778,0.11214761119009173,0.12617044135911729,23466,63.12963436461263
RandomForest,0.18349953123668286,0.2505185736164899,0.27348938074626244,0.10020742944659596,0.11438390814995124,23466,78.41984147276911
Seurat,0.22662575641353447,0.4031326932664167,0.3303244244031704,0.2121751017191667,0.2333000941979599,23466,88.6516662405182
Ensemble,0.208983209750277,0.3626697507126675,0.22816884941541316,0.13948836565871828,0.16148946916810608,23466,86.16295917497656
scGPT,0.20646893377652775,0.3352876433854139,0.28019873047246635,0.14577723625452776,0.15667635134627259,23466,100.0
